date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:34:29	31614/31614	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:28%20GMT	https://irishaidfellowships.ddev.site/	/home/dan/weby/static/iaf/index-2.html	(from )
07:34:29	744/744	U-----	200	untouched ('OK')	text/plain	etag:W/%22678e20c4-88d%22	https://irishaidfellowships.ddev.site/robots.txt		(from )
07:34:29	6375/6375	---MCZ	200	added ('OK')	text/javascript	etag:W/%22678e20c4-18e7%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/google_analytics/googleanalytics.js?sqg85b	/home/dan/weby/static/iaf/sites/all/modules/contrib/google_analytics/googleanalytics4868.js	(from https://irishaidfellowships.ddev.site/)
07:34:29	439/439	U--MC-	200	updated ('OK')	text/css	date:Wed,%2022%20Jan%202025%2006:34:29%20GMT	https://fonts.googleapis.com/css?family=Droid+Serif:700,400italic&display=swap	/home/dan/weby/static/iaf/csse6d9.css	(from https://irishaidfellowships.ddev.site/)
07:34:30	995/995	---MCZ	200	added ('OK')	text/javascript	etag:W/%22678e20c4-3e3%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/matomo/matomo.js?sqg85b	/home/dan/weby/static/iaf/sites/all/modules/contrib/matomo/matomo4868.js	(from https://irishaidfellowships.ddev.site/)
07:34:31	8437/8437	---MCZ	200	added ('OK')	text/javascript	etag:W/%22678e20c4-20f5%22	https://irishaidfellowships.ddev.site/sites/all/modules/contrib/field_group/field_group.js?sqg85b	/home/dan/weby/static/iaf/sites/all/modules/contrib/field_group/field_group4868.js	(from https://irishaidfellowships.ddev.site/)
07:34:32	4712/4712	---MCZ	200	added ('OK')	text/javascript	etag:W/%22678e20c4-1268%22	https://irishaidfellowships.ddev.site/sites/all/themes/custom/weather/js/script.js?sqg85b	/home/dan/weby/static/iaf/sites/all/themes/custom/weather/js/script4868.js	(from https://irishaidfellowships.ddev.site/)
07:34:34	23715/23715	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:33%20GMT	https://irishaidfellowships.ddev.site/about-ireland-fellows-programme	/home/dan/weby/static/iaf/about-ireland-fellows-programme.html	(from https://irishaidfellowships.ddev.site/)
07:34:35	39013/39013	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:34%20GMT	https://irishaidfellowships.ddev.site/strands	/home/dan/weby/static/iaf/strands.html	(from https://irishaidfellowships.ddev.site/)
07:34:36	51287/51287	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2006:34:35%20GMT	https://irishaidfellowships.ddev.site/alumni	/home/dan/weby/static/iaf/alumni.html	(from https://irishaidfellowships.ddev.site/)
